,TCGA-A7-A13D-01A-13R-A12P-07,TCGA-E9-A1RH-11A-34R-A169-07
TCF3,6665,1578
TRIB2,5984,2960
DAZAP1,5495,3102
MBD3,2166,1432
PRLH,0,0
HLTF,1894,2006
FAM50A,5178,2839
FAM3A,3253,1547
CPSF1,4911,2181
MYO3B,252,21
CYBRD1,4257,72136
CDH19,951,90
PDCD2,2141,2493
SLC6A15,251,54
RDH11,2082,2347
PRKACA,4544,7422
ADGRL1,4198,3394
SPP2,0,0
ACTN1,35338,19872
ZFYVE26,1752,2904
RPS6KA6,225,209
EPN2,1234,854
PTPN18,5755,3693
LIMS2,1042,5265
ASIC4,7,0
SPEG,1240,377
LNX1,691,760
ALDH3A2,2358,12945
TFRC,13293,2534
SREBF1,9368,5203
TRPC5,0,0
AFF4,5203,7946
UBE2D1,1343,1003
RHOBTB1,1688,1334
SMC1A,11368,5471
HSD17B10,7945,2688
MARK2,5381,1518
HMMR,1063,52
CHFR,1613,814
TRHDE,1,807
P4HA2,5718,2203
NFATC3,1157,2678
TRNT1,500,941
ACADVL,13633,20944
STK10,2681,1924
ACAP1,167,247
CRMP1,557,884
EVC,1307,2012
DERL2,1768,2295
SIDT1,160,325
NDE1,1283,710
AP1M1,3509,4166
PVR,4536,901
XRCC1,2045,932
CYP2W1,3,1
MCM2,3962,304
PANX2,376,27
TP63,135,996
ALPK1,722,1393
LLGL2,13630,454
PDE8A,946,3614
CLCN4,2107,1383
SDHA,844,441
SMARCE1,479,521
FNDC8,10,3
GSDMB,614,1551
KDM5A,4390,4559
ADAM11,32,26
PPP2R3A,3006,1671
FERMT2,3264,20630
ABCB11,1,55
DHRS9,29,206
CD5L,0,0
PTGS2,766,109
IGF2BP2,1100,311
MAP3K13,5352,1321
ST6GAL1,7039,4188
TBX21,6,46
PICALM,10776,18599
NSF,2423,1548
GLI2,196,333
CLASP1,4995,5641
MRPS34,2577,1354
NOTCH3,16845,10483
CLNS1A,2826,3153
TEAD2,13360,1345
EED,934,929
CDHR2,53,3
SNCB,8,3
TSG101,2088,3140
ATP2A3,479,1267
CA12,3140,3063
MGLL,2491,40911
NTN4,1720,5290
BCS1L,1136,859
NUAK1,2308,3960
DPP8,2907,4182
SLC24A1,385,942
ZNF532,7407,4664
SCARF1,463,1114
LMAN1,12322,9541
IPCEF1,34,76
ZZEF1,2938,4511
ENO1,138950,31940
SLC12A1,20,11
MYDGF,6575,1988
ANO8,449,866
TUBE1,289,864
ARHGEF10L,4981,2039
TXK,6,51
WSCD2,33,334
KCNQ2,27,0
TACR2,82,71
ACTR6,1004,1385
TIPIN,394,311
SRI,5570,3620
EIF4G3,4143,5257
NUP37,744,574
SEMA3A,127,617
GTSE1,1340,54
SEMA3C,9760,12565
TTC38,2635,3556
ACAT1,2168,8959
GRAMD4,1997,2143
CELSR1,3906,1137
WNT8B,1,0
ZNF638,7284,6507
TIMM21,753,1280
ADD2,555,449
FGF4,0,0
VPS9D1,510,333
ZNF37A,2870,1651
MARK3,2479,3139
SLC25A3,12158,23113
FNDC3B,9755,10071
FOSL2,12187,7106
CACNG4,3052,302
FRYL,1749,4934
TMEM131,4225,4451
FSCN1,12365,2313
ACTB,452928,155617
MOCOS,1471,529
PLD1,1184,2351
ATP12A,1,4
WDR62,1912,48
DLG1,4967,5426
RAB7A,15824,18522
BCAP29,45,36
SEC31B,25,711
SART3,2863,1856
ARHGAP15,85,360
TUBA3D,27,16
PAX2,7,1
EXOSC7,1246,758
KIFAP3,3468,2385
MKRN2,1207,1942
MCM6,6319,1971
REXO2,1815,1591
RBM7,901,1424
RBMS2,2023,6996
BAZ2A,5075,6442
PTPN23,3987,2889
MLH1,1174,2078
UNG,2889,2807
FMO4,101,644
KLHL20,793,2204
RGS11,34,530
SLC46A1,326,633
PLXNA2,3331,2459
SPAG5,2737,191
ANKRD13A,2579,2284
TPD52,10786,1197
ACACB,351,65970
TRAF4,11279,476
PAG1,980,532
GPATCH1,1551,727
ICAM3,10,26
NT5C2,1988,1325
MCAM,12632,55054
GPC4,4045,1988
MBNL3,899,2403
CAMSAP3,2409,172
RAP1GAP,1650,182
XAB2,1935,2514
ARHGEF1,7523,2366
STXBP2,1441,202
MAP2K7,1542,1458
NMRK2,1,0
DGKD,1775,1451
CTTNBP2,87,699
ACTL6B,0,0
RARB,606,438
TOP2B,12056,10365
TM9SF3,11917,18076
NFKB2,4223,1146
