,TCGA-A7-A13D-01A-13R-A12P-07,TCGA-E9-A1RH-11A-34R-A169-07
ALDOA,639,233
DOC2A,28,29
HIRIP3,401,811
TAOK2,2503,3763
TMEM219,4045,4335
HMGA2,64,4
MMP3,59,70
CNKSR2,278,738
CNTN5,1,3
KLRF1,0,86
CLEC1A,91,535
MKX,27,770
MPP7,1255,1104
ITGB1,51296,55109
FXYD4,0,0
TRIM48,0,0
PCDH15,0,10
CTF1,124,688
CWC15,1428,2787
FCGR1A,82,28
ARID5B,4981,17144
KLHL1,0,1
CDH8,84,126
DCUN1D2,636,783
TMCO3,3201,2995
TMEM218,715,1265
TIRAP,288,235
LATS2,1931,3188
SAP18,4003,8123
ADGRL3,34,501
KIAA1328,314,475
FAM124A,253,387
MIA2,1405,1461
HNMT,947,7043
LYPD1,86,2
LYPD6B,1024,137
PDCD4,4819,7050
GPM6A,0,223
WDR17,1,112
SPATA4,1,4
VEGFC,631,968
CCDC102B,394,288
CD226,82,97
CNDP1,9,1
FSIP1,12,41
DLG2,15,301
CCDC83,0,0
RGS18,10,49
PRSS23,7152,4943
MTMR12,7057,4731
PPP1R1C,83,6
CCT5,24346,5912
DOCK1,5083,6688
DIXDC1,974,6144
DLAT,2045,3001
PIH1D2,21,64
TIMM8B,1608,1118
TEX12,4,4
PTS,1631,471
PIP4K2A,2374,2357
C2orf50,33,13
FREM2,796,82
FOXO1,1119,8065
CRIM1,5960,21539
ABCB9,1000,131
RILPL2,813,1351
DHX37,1914,731
UBC,44106,59205
ITPR1,982,4945
TKTL2,0,0
PRSS53,43,19
SLC7A11,201,31
ENKUR,51,9
GPR158,537,70
LYZL2,0,0
CACNA2D4,49,437
DCP1B,666,809
CACNA1C,1333,578
KCNA6,2,450
THRB,842,5376
NGLY1,1314,1601
OXSM,570,506
UEVLD,899,1917
TMEM263,3518,2726
UBE3B,2101,3778
ANK3,3730,994
IPMK,1115,756
RAD9B,50,58
PLBD2,4701,7993
DLG5,2028,2221
MAT1A,234,15
SLC2A13,340,920
GXYLT1,1877,1621
TWF1,3687,3313
DIP2C,3456,5400
MAGI1,2756,3585
TEX30,269,170
CSNK1G3,1019,2003
SRFBP1,369,637
AKAP6,114,583
NPAS3,252,271
FAM177A1,2159,1949
MBIP,681,1180
MIPOL1,396,409
EXT2,6208,7299
TMEM18,1139,1920
ALLC,0,0
KCTD14,5,48
THRSP,3,9836
NDUFC2,453,902
ME3,334,1448
MSGN1,0,0
ADAMTS12,3558,1909
NUBPL,401,1952
NEK7,3325,11383
ATP6V1G3,0,0
FER,992,2474
VIPAS39,992,1940
ANKRD50,2575,2317
UPF2,5754,3413
CDC123,6054,1678
SCLT1,497,390
CCDC3,1318,8637
C4orf33,369,539
FRMD4A,3346,4976
SLC25A31,0,1
EPS8,2553,8093
ACAD8,658,2161
THYN1,819,2713
VPS26B,2773,3957
NCAPD3,2586,1157
VTI1A,1104,1304
QDPR,1411,5318
ANO4,5,31
TEX9,262,192
MMAA,454,734
POU4F2,0,0
EDNRA,1495,1375
NR3C2,138,1397
DPYSL4,884,17
VENTX,19,33
ITIH2,5,52
KIN,1435,677
PIGF,304,352
ANKAR,114,202
INPP1,421,989
MFSD6,4544,2547
RNF144A,2144,3298
ASAP2,2248,1725
ADAM17,2612,1450
FLI1,582,3328
KCNJ1,3,3
TMEM45B,60,108
WWC2,5839,2846
CENPU,3173,113
ACSL1,13061,140156
SLC25A4,2462,1973
AMN1,98,184
BICD1,1701,468
SAV1,1341,4183
CCDC122,96,192
SERP2,60,148
NBAS,5184,5545
ZNF385D,126,1020
TDO2,72,4
GUF1,1125,1722
SLC35F4,0,0
GABRA2,0,247
SACS,1642,2027
CCDC175,1,0
PABPC3,320,41
CENPJ,901,455
FBXO4,1116,765
CCL28,247,1854
PARP8,279,990
GFRA1,70,12462
CACUL1,5789,4172
DST,5900,31590
BEND6,93,105
TIAL1,4420,4207
BAG3,4430,2945
GLT1D1,13,11
TMEM132D,0,1
RBM46,10,10
SCHIP1,64,45
KCNE4,738,235
AP1S3,437,58
RABGAP1L,2855,2602
CCDC74B,42,57
MZT2B,1788,518
TUBA3E,2,1
ASTN1,8,125
FAM168B,12631,11583
PTPN14,6281,8617
MGAT5,7854,3650
TMEM163,71,99
GPATCH11,628,3766
HSPB8,286,3500
GEMIN6,729,643
TMEM178A,64,244
POU4F1,1,0
CYSLTR2,9,62
GRID2,1,1
ARL11,85,120
RIT2,0,0
SETBP1,743,2369
ARL14EP,838,1952
EPG5,1938,2650
PSTPIP2,1196,575
HAUS1,530,609
C18orf25,1335,1797
SPC25,560,26
G6PC2,0,6
PDK1,5505,2324
PTH,0,0
PDE3B,18,16689
TCF7L1,6983,2851
TGOLN2,17031,23467
SH2D6,1,3
KCNK13,48,39
ATG10,275,414
POC5,291,407
SPOCK1,4790,5251
FAM151B,35,93
TADA1,820,653
CWF19L2,812,1671
JMY,1065,2092
HOMER1,538,309
XRCC4,398,346
BOLL,2,1
ZNF547,150,77
ZNF773,379,279
ZNF776,1280,681
ZNF256,494,191
SUV39H2,1157,308
DCLRE1C,1819,864
RPP38,953,273
NMT2,1671,4078
ZSCAN1,53,5
ZNF837,109,39
USP12,1752,2844
CCDC50,3858,14164
CAMK4,70,58
TRIM36,91,77
ZFP36L2,10145,8402
PAN3,1943,2944
PLEKHH2,115,1445
PFKM,5856,2060
TMEM123,36301,11064
GRIA4,4,58
IGSF10,389,4479
SPEF2,786,536
SPARCL1,4330,53679
DSPP,1,0
DMP1,6,1
MEPE,2,0
MBNL1,5624,20364
CAPSL,12,0
NADK2,1976,2016
GPD1L,1756,9988
GJA1,11272,8997
CCNO,10,36
DDX4,0,0
CLEC4F,3,151
SLC30A6,2311,2492
PELO,1292,899
RASGRP3,1461,1084
SAR1B,1561,4634
CATSPER3,15,12
GPR180,946,3111
ANKRD22,437,45
FARP1,6004,1802
IFIT5,969,1528
SLC16A12,2,65
PANK1,501,280
PRDM8,19,176
BMP3,14,319
HNRNPDL,10808,13733
HHEX,110,880
UTRN,3442,22085
GRM1,4,12
PTPRK,9578,3499
GGPS1,1351,886
CNTNAP4,0,17
ZNF117,186,3435
RAB3C,2,355
LMNTD1,0,1
MARVELD2,621,347
RAD17,776,1831
MED21,1383,1620
PLOD2,12027,9348
STK32B,127,487
NRSN1,2,1
JAKMIP1,0,0
ZIC1,777,33
ADGRA3,2983,3349
CPB1,7,425
SREK1IP1,643,2111
LGI2,172,550
CWC27,880,1406
MR1,1115,2416
SRP19,275,564
CENPH,320,179
CDYL,2731,1508
TEKT5,2,2
BANK1,25,1441
TXNDC11,2014,2243
DAB2,6915,13504
ACMSD,2,7
ACOXL,46,329
BCL2L11,3033,1214
ANAPC1,2167,1331
CAST,19832,17098
SCOC,2161,4038
CLGN,30,57
CETN3,328,746
SMARCA5,11389,5758
SYCP2L,163,24
BMP6,98,955
RGPD3,12,19
RASSF3,2476,4892
HNRNPU,43420,22393
RANBP2,8675,9742
AHCTF1,7233,3499
MERTK,394,741
TMEM87B,2590,1825
PTPRR,148,24
CCDC148,39,37
PLA2R1,757,3185
RBMS1,6197,6040
SCN3A,8,291
FEZF2,0,4
CD96,31,329
SLC25A27,89,625
ADGRF1,269,26
ADGRF4,56,1
FRMD1,4,875
ASAP1,7597,3977
TRAPPC8,1451,3551
FAM81B,1,4
INO80C,504,337
LPCAT1,15982,2023
PLEKHG4B,4513,152
NMRAL1,3017,1273
UBALD1,717,420
C16orf89,6,1555
ING1,1164,960
SPACA7,0,0
ADPRHL1,347,365
CMTM7,2510,982
UBP1,3742,4445
RMND5A,4872,6829
RPIA,2043,946
LURAP1L,948,1493
CNKSR3,725,241
GTF2E1,1325,758
CFDP1,1069,1816
TGIF2LX,0,0
ZDHHC7,2959,4242
C7orf31,185,404
TMPRSS11D,6,2
JAZF1,1148,2161
CMIP,5003,3670
SPHKAP,34,62
KCNJ16,147,217
PID1,448,4251
TRIP12,12585,15708
FBXO36,227,367
CEBPG,7375,3180
KCTD15,6929,733
ZNF599,710,323
MCOLN2,203,71
LGI4,165,917
DDAH1,2283,2005
SREK1,1896,3789
CHD1,1594,2567
ANKFN1,43,50
DGKE,284,694
HS2ST1,2767,2290
MSI2,2295,2293
CACNA2D1,313,3001
HS3ST3A1,149,61
GDPD1,157,108
SEMA3D,324,1592
PPP2R5E,3467,3335
ASB17,0,0
GRAP,55,45
AK5,189,839
CABYR,147,84
IMPACT,1388,3321
ANKRD29,45,1986
CHST9,297,201
THY1,7931,2896
DNAAF1,35,34
C16orf74,139,100
TBCEL,839,1382
JPH3,58,3
ANKH,19902,4551
OTULIN,3460,1089
UBASH3B,3377,343
ROBO4,1429,4689
ROBO3,178,701
PANX3,0,0
TBRG1,681,1549
NRGN,94,154
CDH12,2,9
ABI3BP,118,14537
ANGPT1,220,3066
CYP4Z2P,7,67
PITPNC1,2834,1594
CC2D1B,2446,1652
CERS3,2,5
PRKCA,3735,1535
LRRK1,1302,1219
CEP112,425,1364
GAL3ST2,18,0
ABCA9,25,7611
ABCA6,18,3126
ABCA10,55,1767
ABCA5,746,2964
ENPP3,27,156
C4orf19,295,503
UCHL1,719,656
MIA3,2070,7291
TNIK,994,522
FAM167A,102,50
NEIL2,723,1286
PGM5,22,3128
WNT3A,10,0
OBSCN,2045,635
LONRF1,857,2310
TRIM11,2214,472
ENAH,17292,7437
PPP1R3A,0,0
ASZ1,1,0
SH3RF1,6278,1773
GBP5,143,208
BUB3,5890,3573
GPR26,95,14
MMP21,30,27
C10orf90,345,62
MAGED4,46,1
SRSF12,103,35
PDLIM3,1561,2760
SORBS2,3358,3415
LY96,229,482
PSMA8,1,8
TMSB4Y,0,0
CXADR,5929,507
BTG3,2013,750
C21orf91,1039,1577
CHODL,598,136
TMPRSS15,1,0
NCAM2,150,261
L3MBTL4,969,349
PDE1C,70,636
RABGEF1,171,110
MRPL39,1587,1007
JAM2,280,5387
GABPA,2125,3278
ADAMTS1,1953,5044
ADAMTS5,630,8012
TSEN2,417,407
SLFN13,2089,517
WNT7A,5,0
XPC,616,1468
CCDC174,649,1262
FGD5,744,4034
FLCN,1270,1584
DPH3,1089,2405
PLCL2,302,1500
CXXC1,1394,1169
SKA1,691,24
PPP4R1,4519,2870
APCDD1,903,12690
PIEZO2,383,904
MPPE1,417,740
USP43,1048,74
RAB6B,2574,1098
EME1,183,27
EPHB1,890,412
ACSS1,1067,1244
ANKRD40,1643,7171
ZNF18,354,521
CA10,1,2
VOPP1,2801,1822
SEPTIN14,0,0
APOOL,1495,2354
DKK2,124,630
CYP2U1,338,2043
FBXL18,1314,543
CNTNAP5,1,5
PROM2,10774,784
AK9,220,418
ODF1,0,0
KLF10,6100,5190
PTPRN2,70,621
AZIN1,15627,11729
ATP6V1C1,5181,4476
OTUD6B,620,556
CDK19,2059,1834
GTF3C6,2019,1616
TTC39B,523,641
AGPAT5,1543,945
MMS19,4908,3241
OR4K1,0,2
PI4K2A,1700,1524
MARVELD1,3945,2889
ZFYVE27,1005,991
GOLGA7B,679,160
GPR78,13,3
TRMT44,456,607
SLC25A28,794,1640
HSPA13,2526,1682
SAMSN1,46,282
USP25,2883,4575
ZCCHC10,388,740
C16orf87,531,390
MOV10,2723,1611
RHOC,11311,4365
PPM1J,169,20
DBI,10797,11479
HEATR3,1766,729
TRIM74,6,1
NIFK,1994,827
OXA1L,3899,8213
SLC7A7,334,724
LARP1,11157,14264
CNOT8,2691,4260
GRIA1,4,664
LRGUK,72,13
SETD9,28,404
MIER3,627,1470
NUP205,13337,2461
ZKSCAN2,206,488
C9orf85,367,638
XAGE2,9,0
PIK3AP1,3017,997
RBM45,576,451
TTN,248,893
VSIG4,419,3815
PDIA4,51642,4961
KDM8,86,129
PDZD9,0,12
OTOA,12,14
KCTD18,920,1538
TMEM237,1776,1821
FZD7,8012,3148
SPAG17,135,230
DEPTOR,1231,1320
FMN2,19,34
RNF20,2848,4630
CYLC2,0,0
PPARGC1B,679,839
SLC26A2,3464,1872
LSM11,476,437
MED7,374,654
SAXO1,21,19
RRAGA,4058,5341
SLC24A2,73,11
TRIM42,1,0
PXYLP1,1417,883
ADCY8,1,13
RASA2,1151,1440
RMND1,597,2243
RAET1L,206,2
SLA,262,588
TMBIM4,202,1469
VBP1,2986,2349
RAB39B,7,32
CLIC2,311,2738
AFF2,94,273
MICU3,88,738
GRIP1,1114,135
VPS37A,777,1830
KIF5A,27,56
NAT2,14,7
MAGEA8,3,2
PSD3,1182,1327
MCU,1097,1101
CFAP70,40,243
GNA14,65,250
FAM161B,200,466
GNAQ,3005,9501
WIF1,9,406
UGT2B4,0,157
GPR61,8,10
MMP16,384,784
ADK,1807,2268
KCNMA1,244,3267
BATF,406,67
DCK,745,957
ADAMTS3,218,1292
ALX3,0,0
DPY19L4,1480,2524
NDUFAF6,1183,679
DRAM2,2293,6104
PPEF2,1,1
ADAMTSL3,765,1749
ART3,734,26
SLC28A1,132,34
WHAMM,549,1180
CXCL13,5,34
N6AMT1,497,670
RWDD2B,1406,1320
USP16,3275,3846
CCT8,12691,6106
MAP3K7CL,316,153
NAA11,0,1
BACH1,3333,2138
CLDN17,2,0
CLDN8,953,374
TSPAN7,276,3205
TIAM1,1221,501
SCAF4,3822,1934
RPGR,401,693
CDK20,426,170
PCGF6,376,672
ANKRD9,695,687
SFR1,466,307
SORCS3,1,12
SFXN2,415,463
FUT6,14,31
TDRD9,10,63
FGF18,14,91
PCDH1,4382,3325
SH3RF2,1575,585
GDF6,48,73
UQCRB,7367,10376
MTERF3,1548,725
PTDSS1,7818,3235
PPP2R2B,39,65
RPL30,13425,11924
KCNS2,2,18
SUPV3L1,2916,1588
EEF1A1,138751,384308
FBXO43,50,8
HKDC1,5,1
HK1,21981,6149
TYSND1,2041,2104
PHF6,2210,1319
CD109,3594,4941
LRFN2,2,1
NODAL,16,29
PRG3,0,0
UBE2L6,2563,3031
ZDHHC5,6194,5371
ZFAND3,3604,5290
NPTN,4304,6266
KAT6B,1634,3051
SAMD8,990,5201
RAB11FIP1,1672,1438
UNC5D,1,2
GLYATL2,502,101
UTP14A,1612,1077
AIFM1,3694,3001
MAPK13,5062,1801
BAG4,903,4033
MS4A1,1,44
TBC1D31,980,252
ATAD2,8852,994
FBXO32,10631,6867
NSMCE2,1660,895
ZNF689,306,808
PRR14,1615,1197
FBRS,3608,2438
FRRS1,802,747
SASS6,801,264
COX6A2,0,0
ITGAD,4,13
ADGRG4,0,18
ZIC3,17,1
MALSU1,1517,916
VPS8,1809,2435
GALK2,526,811
LHFPL4,1,4
B3GNT7,849,168
MPV17L,221,766
BUB1B,2095,68
PDE6D,900,586
EIF4A2,10749,29418
BRPF1,2151,1089
RPUSD3,2897,1019
SST,0,1
TATDN2,1272,912
GHRL,12,13
SEC13,8415,3739
EXOG,245,356
NTAN1,2951,1577
SHCBP1L,0,0
NMNAT2,37,1608
ZFYVE9,2155,3365
ATP2B2,432,22
LYZL4,1,0
SLC6A1,180,23
SMG1,5483,7301
FCHO2,833,2768
RBPMS,1603,7096
TMEM171,50,2
KLHL40,0,2
C8A,0,0
TIMP4,5,16485
SYN2,329,1660
NRG1,422,631
NECAP2,4044,3438
LRP8,686,174
CDCP2,0,0
PAXIP1,1980,585
SSBP3,6075,3895
HTR5A,0,0
CLDN12,1888,1491
MMP14,34534,8140
FZD1,2384,2235
GATAD1,1265,3430
SUSD3,114,164
TMED6,14,22
DHRS4,373,421
CLEC18C,1,0
DDX19B,549,681
ST3GAL2,986,1406
IL34,2090,537
DHRS1,767,1127
CACNA1D,289,233
KIT,902,4232
AASDH,388,1014
ZNF19,82,226
CACNA2D3,70,101
RNF111,1435,2081
CCNB2,2518,81
FAM81A,149,56
MYO1E,5012,2191
APPL1,3624,4465
AFAP1L1,1031,3565
TSC22D3,2273,15785
DYRK1A,5450,4055
KCNJ15,166,80
ERG,914,3317
ETS2,6078,4750
TSPAN18,1647,3217
LCA5L,114,66
SLC35B2,3680,1746
TMEM164,3319,4909
MX1,14292,3625
CREB3L1,1745,909
C2CD2,2674,13242
TAB3,2604,2162
SLC38A10,9564,5770
C9orf43,33,24
ZNF618,2634,1297
DGKI,223,652
SVOPL,213,21
SNX22,264,55
UBN2,1962,1966
BRAF,2199,2635
ACAN,1130,15
PSMG3,2676,639
CABP1,43,204
WDR19,679,2445
AP3S2,762,2269
FMNL2,4285,5184
DPYSL5,6,2
DRC1,8,15
RAB28,500,1317
TNFRSF14,1272,1612
PANK4,854,810
CIB4,33,3
MEGF11,20,17
C12orf43,410,926
PEX10,482,558
RER1,5329,5321
RADIL,487,350
SKI,6196,11702
WIPI2,6870,5144
LDLRAP1,2499,1642
AGAP1,4847,2934
ANKRD61,34,20
PAFAH2,912,1055
EXTL1,441,19
SLC30A2,13,8
TRIM63,0,23
MRPL17,3172,1480
DUSP2,596,81
GRHL3,995,38
NLRP14,1,8
PTPDC1,584,636
GALNT14,1773,121
NCK1,2219,2225
HPD,6,52
RHPN1,1493,151
TPRG1L,4716,6297
LRRC43,37,54
XDH,327,182
XKR8,612,444
CNNM4,2589,717
EYA3,1555,1292
DZIP1L,111,238
TMSB15A,36,27
FANCC,386,493
MRAS,5278,20502
ABHD3,501,1068
ESYT3,298,49
FAIM,928,1003
CLSTN2,389,15743
COLEC12,334,8627
RNF207,305,297
CUL4B,12274,5859
GPR153,694,2118
SLC13A3,847,144
GPRASP2,297,1373
RHBDL2,1220,134
AUTS2,5497,3204
SHROOM4,1563,2245
CDC25C,476,8
MITD1,676,683
EIF5B,16608,9572
RIBC1,41,62
TMSB15B,121,0
CATIP,4,4
CNOT11,4373,1849
KCNB1,47,4282
TSPAN33,3384,482
NRG2,17,171
AHCYL2,1495,1985
B4GALT5,6236,5083
CD1D,30,87
SPATA2,1162,748
CD1C,4,123
CD1B,0,4
DNAH3,55,14
CD1E,4,15
HMHB1,1,1
CPA2,75,71
CPA5,1,11
TSR2,4032,2692
PPP1R9A,1810,854
ZC3H18,2382,1480
ZFAND2B,1867,965
POM121L2,9,1
GDPD5,995,4969
DYNC1I1,236,161
PFKFB1,6,2722
ALAS2,3,2
TMED4,6796,4591
PPP1R15B,5478,4285
COPG2,4459,3289
PAGE5,9,1
PKD1L1,19,192
ZSCAN12,189,426
TAGLN2,121087,18199
ELK4,2401,4599
SLAMF8,119,42
SLC45A3,531,228
DUSP23,2456,1004
RNF166,407,475
HTR6,120,4
ITLN2,4,0
F11R,16082,3972
USF1,4960,2304
SPATA2L,568,119
NIT1,1432,1879
DEDD,3917,1758
ZNF276,390,386
NPM2,43,19
EDA,56,341
FGF17,3,8
VWA5B1,0,4
CDA,55,91
PINK1,1296,1704
B4GALT3,7675,1295
DMTN,1565,4072
ADAMTS4,2325,222
NDUFS2,15762,6385
SLC5A11,17,1
FCER1G,704,1687
APOA2,5,0
TOMM40L,1590,542
MPZ,33,338
WFDC8,0,0
CCAR2,2627,2764
WNT9B,3,87
CDC42SE2,2286,2836
RAPGEF6,320,484
EPB41,3281,3686
MIS18A,1161,350
ALG8,1493,2220
FBXW5,4897,5248
SYNJ1,822,1116
PAXBP1,2204,1492
IFNAR2,102,44
MRPL10,1378,3379
IFNGR2,4936,4616
SON,18047,16155
DONSON,1318,324
SV2A,244,145
LAD1,7575,243
STC1,2102,833
TNNI1,51,27
CSRP1,13018,16633
PRAC1,1,0
C1QC,647,6806
KCNE2,0,0
UBE2Z,7157,4500
CIART,1566,277
SNF8,1523,1052
CLIC6,58,1287
CCDC24,287,160
RUNX1,11455,4500
IGF2BP1,120,0
GIP,1,0
CBR1,2509,1549
CBR3,85,269
GJD2,0,0
MORC3,2107,2837
CHAF1B,1577,267
CLDN14,286,0
SIM2,952,11
HLCS,3439,1779
GOLGA6A,1,0
SCUBE1,9,847
ARHGAP27,2385,890
ADPGK,2062,1920
PTMS,10292,6955
PLA2G4D,0,1
PADI4,1,3
ADIPOR1,5733,6079
CYB5R1,2897,3881
PSMD4,13977,6474
ATP13A2,7068,1366
M1AP,647,158
IRX6,409,1005
BTG2,1091,6826
CES5A,3,0
HK2,18484,13776
C1R,9857,36187
CELF3,15,1
ALDH4A1,1533,9651
STARD9,519,2831
THEM4,1357,1067
TCHH,16,8
LCE2B,0,0
UBR1,1465,3204
AMFR,4691,7132
MED8,2560,1218
TGM7,5,1
RGL4,2,9
PGLYRP3,8,0
ISL2,1,0
RSPRY1,1597,1783
CCDC17,56,65
GPBP1L1,7951,6663
NAE1,2761,1870
ADGRG5,121,51
DRC7,1,2
ACE,732,2197
TEPP,0,15
UROC1,4,0
EFCAB14,8844,14923
CHCHD6,848,287
CTBP1,3542,3705
LRRC36,48,18
TPPP3,638,3467
ZDHHC1,886,799
ATP6V0D1,8128,4156
AGRP,7,0
ZFYVE28,88,440
C16orf86,25,186
PIP,46,6032
FAM131B,60,179
RGS12,1223,1498
PSKH1,1631,2153
ABR,3810,4738
LYPD5,337,72
CCDC117,2533,2446
ZNF230,433,288
CCDC107,148,185
ZNF222,155,126
NPR2,766,2812
ZNF221,127,96
ZNF233,97,35
ZNF235,285,259
GNE,1806,2903
TNFRSF13C,38,34
ARHGAP35,17080,8409
PTGIR,192,108
CALM3,18135,8047
DFFA,1391,2369
CCDC28B,652,100
IQCC,167,122
TMEM234,351,195
BSDC1,4707,5273
ZBTB8A,376,637
ATAD3B,2501,299
SSU72,6990,7081
UBE2J2,3567,1579
ZNF362,3014,1802
FNDC5,117,549
NR2F6,2309,1134
ANKLE1,29,17
VMA21,2676,2864
KALRN,1706,1884
CILP2,538,61
ABCG1,801,2053
TFF3,5,426
TFF2,5,0
TFF1,16,28
TMPRSS3,2451,167
UBASH3A,12,22
RSPH1,287,33
SLC37A1,3993,336
PDE9A,2012,854
WDR4,2011,270
NDUFV3,2524,3569
PKNOX1,1204,1137
CBS,231,12
U2AF1,59,5
HSF2BP,34,20
RRP1B,6269,2416
PDXK,19292,19286
G6PD,3286,2694
CSTB,20556,6692
RRP1,3948,662
AGPAT3,6344,6769
TRAPPC10,2299,1806
GAB3,67,550
AIRE,2,2
LRRC3,2131,602
ITGB2,3483,2421
RALGDS,366,440
FTCD,46,5
SPATC1L,12,149
VAV2,4692,1067
MCM3AP,4501,3356
C21orf58,763,126
PCNT,6376,2234
DIP2A,3647,1829
S100B,8,6947
PRMT2,8695,4722
CLDND2,60,159
ZNF208,5,217
ADAMTS13,104,113
CACFD1,1861,469
SLC2A6,1045,151
FCN2,6,170
LCN1,13,0
ZNF714,587,228
GPSM1,1727,276
C19orf47,1786,429
HIPK4,7,8
TOR2A,449,301
ST6GALNAC6,2,7
SHKBP1,8251,1408
RDH13,1521,330
ZER1,2701,5000
ZDHHC12,1252,759
PKN3,431,932
SPTBN4,145,359
COX6B2,12,6
TMEM190,0,1
TAOK1,5063,9980
MED27,1027,539
DEDD2,2172,662
SIK3,1484,2995
MPZL3,1121,290
NEK8,234,91
TLCD1,993,60
PCSK7,860,984
SAFB,5396,3610
CD3G,11,75
S100A1,951,228
CHTOP,5611,2504
CXCR5,4,0
ZBTB7B,12321,3145
FLAD1,12934,1663
SHC1,10290,4358
VPS11,1443,3814
NLRX1,834,2137
IL6R,1175,2213
UBE2Q1,7324,3375
CHRNB2,20,16
CRTC2,5724,1946
ANO10,1868,3483
FDPS,4625,1373
RUSC1,4730,1122
PAQR6,284,18
PMF1,1635,416
SLC25A44,5228,2146
LMNA,74220,18646
CCR5,143,170
NBEAL2,3804,1645
CCDC12,1515,883
PTH1R,50,1655
MYL3,15,182
PPP1R35,323,85
GPATCH4,4897,1184
LRRC71,3,4
FCRL3,2,21
AZGP1,55414,19038
FGFR4,1649,149
CYP3A4,3,31
CYP3A7,0,6
NACC1,4917,1234
CYP11B1,0,0
LY6K,641,125
IER2,2514,784
ZNF394,1087,922
CPSF4,1894,1262
LY6E,67191,6295
VPS28,4413,3527
TONSL,2093,154
PTGER1,1,4
RECQL4,2391,100
LRRC14,1206,825
ZNF333,240,871
PPP1R16A,1116,1116
FOXH1,11,3
ORAI2,4020,1041
ALKBH4,685,375
CCDC105,0,0
SH2B2,866,42
SQSTM1,7082,10575
MGAT4B,6969,2777
RPL8,83125,43967
MAML1,2845,2551
PGLYRP2,0,33
LRWD1,1741,305
FBXL13,46,61
NAPEPLD,1270,1343
SCGB3A1,3,107
PSMC2,6725,4515
CELF5,117,36
MFSD12,4165,693
USP41,0,1
YDJC,1361,170
CCDC116,3,11
DVL3,5110,4330
AP2M1,17402,15461
ABCF3,2879,2406
PCYT1A,4162,6201
FBXO27,399,1547
DMKN,1634,377
U2AF1L4,211,52
BDH1,996,1380
THAP8,846,234
COX7A1,355,2881
ZNF382,461,210
LRRC56,138,35
IKZF3,785,245
GRIN2C,50,40
FDXR,1060,290
SAP30BP,5912,2575
ACOX1,10839,10567
PRPSAP1,4444,2444
CYGB,505,3242
SRSF2,6243,4193
ZNF577,649,549
TMEM143,154,747
KLHL10,9,26
HCRT,3,0
ALDH16A1,3407,744
DCD,0,11
ITGA5,18905,4951
SIGLEC11,3,68
ZNF385A,961,2792
MPP3,300,210
CD300LG,1,7764
IZUMO2,1,0
NAGS,142,67
LSM12,579,419
ASB16,32,30
EMC10,10413,1972
SHANK1,151,9
DBF4B,595,257
PLCD3,1555,2119
FMNL3,2227,2444
AQP5,157,186
RACGAP1,4898,646
OR7G1,0,0
LARP4,6408,3197
RAVER1,927,478
KRT84,1,0
KRT82,4,0
SYCE2,5,32
SPC24,454,59
IP6K3,9,6
LEMD2,2323,1390
ALOX15,38,71
TREML1,2,3
ZNF653,201,74
MED11,416,348
CXCL16,10089,1428
SCIMP,36,100
BCL6B,985,1625
ASGR2,9,24
TNFSF13,217,246
SENP3,1399,459
FGF11,80,2
RPL26,1283,1305
CCDC42,0,1
POLR3K,1118,401
SNRNP25,1521,866
PRR35,0,0
WDR90,734,526
JMJD8,535,657
CCDC78,84,22
SSTR5,0,2
SPSB3,9,2
MEIOB,9,6
HS3ST6,5,0
CCNF,1565,378
TBC1D24,1304,2096
AMDHD2,551,300
NTN3,1,14
PAQR4,1170,111
FLYWCH2,2179,601
ZG16B,632,375
ZNF75A,978,668
ADCY9,2111,2131
SHANK2,3255,682
CLPB,1407,1016
NEU3,592,645
CYB561A3,956,1685
PPP1R32,61,86
ASRGL1,222,148
GNG3,16,3
UBXN1,4943,4231
LBHD1,26,37
TTC9C,1170,806
TAF6L,464,311
NXF1,3756,2854
STX5,3387,2235
SLC25A45,197,405
ITIH3,21,123
SYVN1,2645,4102
ZFPL1,230,108
RPS6KA4,1909,1280
LRP5,5596,8878
TPCN2,335,434
FGF19,1,1
CYP4A22,0,8
PDZK1IP1,4599,241
TAL1,93,599
CMPK1,11631,13347
BEND5,156,222
COA7,2423,1106
ZYG11B,2409,4878
SLC1A7,19,749
MAGOH,2521,911
ACOT11,181,54
FAM151A,8,12
PARS2,505,274
USP24,4710,6657
KLHL21,3727,6586
ZSWIM5,86,211
GMEB1,1084,744
SLC45A1,118,149
AK4,4790,9249
JAK1,12035,24876
RAVER2,1212,1576
CTRC,7,1
LZIC,3201,3238
RBP7,101,5265
KNCN,0,0
FBLIM1,5235,1583
TMEM82,0,0
SLC25A34,28,251
DRAXIN,232,24
PDPN,1688,1252
LRRC38,1,13
DHRS3,1814,12813
MATN1,10,2
LAPTM5,3085,2583
SDC3,9135,5810
PEF1,5817,3404
SYNC,123,360
RBBP4,7927,4838
KIAA1522,23471,2910
TSSK3,7,12
UBXN10,200,228
CAMK2N1,6170,1787
WNT4,586,85
TTLL10,8,35
SCNN1D,94,98
MXRA8,4353,11163
FAAP20,1577,1004
MEGF6,1987,2304
CCDC27,9,0
IL23R,2,2
DIRAS3,58,141
C1orf87,1,3
OMA1,608,721
MYSM1,1883,2027
TM2D1,1026,1481
USP1,4416,2570
FUBP1,7665,4396
